new_status,verdict,status,score,source,title,price,location,url,image_url,category,model,model_confidence,price_signal,reason,risk,seller_message,scraped_at
SEEN_BEFORE,WATCH,CHEAP_WATCH_CANDIDATE,73,Facebook Marketplace,Sony Walkman Cassette Player FM/AM,$20,"Athens, GA",https://www.facebook.com/marketplace/item/1611248836877030,https://scontent-atl3-1.xx.fbcdn.net/v/t39.84726-6/662826995_1551128003239603_5636462579116441416_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=92e707&_nc_ohc=m9K96iYp4S4Q7kNvwGTGzGg&_nc_oc=AdpVY5XD8ei_Vyx9TEMU5kNFCZkg4IzDN3hu7QwfYmcLz6JUg9vuZe2k56pzt0VY6IE&_nc_zt=14&_nc_ht=scontent-atl3-1.xx&_nc_gid=kc5B5c97RaHMUpFs99hGvA&_nc_ss=7c289&oh=00_Af5WdGrj1_l4rvLVPtua0H5z3-I3NL7-cjdFJ2MZvgz_HA&oe=6A003C0A,portable audio,Sony Walkman,95,CHEAP_LOCAL_SIGNAL,"price is at or under $25; model/category signal: Sony Walkman; matches Matthew interest terms: cassette, walkman","Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the Sony Walkman still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.710441+00:00
SEEN_BEFORE,WATCH,CHEAP_WATCH_CANDIDATE,54,Facebook Marketplace,Cassette Deck,$10,"Atlanta, GA",https://www.facebook.com/marketplace/item/1353874350085095,https://scontent-lga3-1.xx.fbcdn.net/v/t39.84726-6/611689821_1210339537716704_3691306959327428929_n.jpg?stp=c151.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=zkApKUPrVekQ7kNvwGGsuci&_nc_oc=AdrzfXNz3X9ZMZVkG3JDefIt-dOMBpqi7EMtxLMB3XwINALGt9Qy-kwmnC5J-Err8Kc&_nc_zt=14&_nc_ht=scontent-lga3-1.xx&_nc_gid=2qldtK26t0_9kzBACLG1HA&_nc_ss=72289&oh=00_Af4xdHmjQTz5zuKBk6UHP7Gyuj6NWnO2UESMRE5n1JHd8w&oe=6A004B00,cassette deck,,0,CHEAP_LOCAL_SIGNAL,price is at or under $25; category signal: cassette deck; matches Matthew interest terms: cassette,"Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the cassette deck still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.710753+00:00
SEEN_BEFORE,WATCH,CHEAP_WATCH_CANDIDATE,54,Facebook Marketplace,Kenwood Double Cassette Deck,$15,"Athens, GA",https://www.facebook.com/marketplace/item/1676571193682046,https://scontent.fmli1-1.fna.fbcdn.net/v/t39.84726-6/686948352_2224522288358553_5999571166037259147_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=Dck1ulLHwtUQ7kNvwGJsScE&_nc_oc=Ado7eTlWmoPZkf7g8NcU4U6TXdMrARrM_rvX_hABOmJANZcA5-x6kjtE2eRCDo41uFg&_nc_zt=14&_nc_ht=scontent.fmli1-1.fna&_nc_gid=mwdWVNFcVfcMKUjFk5s1nQ&_nc_ss=72289&oh=00_Af5RjXiaE2UA7FWL3AxD9vKKeIaXh0D5agB-n4JnEnRlnA&oe=6A00533F,cassette deck,Kenwood cassette deck (model unknown),45,CHEAP_LOCAL_SIGNAL,price is at or under $25; model/category signal: Kenwood cassette deck (model unknown); matches Matthew interest terms: cassette,"Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the Kenwood cassette deck (model unknown) still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.711404+00:00
SEEN_BEFORE,WATCH,CHEAP_WATCH_CANDIDATE,54,Facebook Marketplace,Turntable,$20,"Atlanta, GA",https://www.facebook.com/marketplace/item/999577765979772,https://scontent-lga3-2.xx.fbcdn.net/v/t39.84726-6/682458378_1528009115627502_4372029457125905819_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=1jsV06IM2jUQ7kNvwFZ9qI8&_nc_oc=AdoEWYUImaNsVFaLObFhNnpFOXX72Bbu3zqfSVSSCvyM4GSrc0ay9jcBLav6r_QLkTk&_nc_zt=14&_nc_ht=scontent-lga3-2.xx&_nc_gid=yynAuPkqwcmA2NARlrCYBQ&_nc_ss=72289&oh=00_Af7_Va7fN04nZ_XQ9uiwl96o-VJu0LqFS9QJ0U5Kb3ZqBg&oe=6A005992,turntable,,0,CHEAP_LOCAL_SIGNAL,price is at or under $25; category signal: turntable; matches Matthew interest terms: turntable,"Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the turntable still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.710581+00:00
SEEN_BEFORE,WATCH,CHEAP_WATCH_CANDIDATE,54,Facebook Marketplace,Sony TC-WR545 cassette deck,$20,"Atlanta, GA",https://www.facebook.com/marketplace/item/1947048532581739,https://scontent-lga3-2.xx.fbcdn.net/v/t39.84726-6/681243424_913398385064342_369904406980880954_n.jpg?stp=c350.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=92e707&_nc_ohc=tRk59NpAt8cQ7kNvwEGFw7J&_nc_oc=AdqLD_PHU3MjIfLbK59qJwexZaBpBWy8lsz3XBalfG_nTnsu2Bb5cx71uYxDELbYl8g&_nc_zt=14&_nc_ht=scontent-lga3-2.xx&_nc_gid=2qldtK26t0_9kzBACLG1HA&_nc_ss=72289&oh=00_Af7VivcjbApdAJ51Hx2RGVNMDX84B8BuH2wxRoKj9_8NHg&oe=6A00592A,cassette deck,Sony cassette deck (model unknown),45,CHEAP_LOCAL_SIGNAL,price is at or under $25; model/category signal: Sony cassette deck (model unknown); matches Matthew interest terms: cassette,"Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the Sony cassette deck (model unknown) still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.710748+00:00
SEEN_BEFORE,WATCH,CHEAP_WATCH_CANDIDATE,54,Facebook Marketplace,Cassette deck,$20,"Athens, GA",https://www.facebook.com/marketplace/item/1606559157113338,https://scontent.fmli1-1.fna.fbcdn.net/v/t39.84726-6/685919907_1503696411135524_782890722273694871_n.jpg?stp=c197.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=92e707&_nc_ohc=JDQPckm6AugQ7kNvwHNJ3Nm&_nc_oc=AdrDpYajheo-Z1T9TmYqgPOmeWtgRcTFTvtORREgpKXJM7gYsm1hoRELzkiIGC6mJL8&_nc_zt=14&_nc_ht=scontent.fmli1-1.fna&_nc_gid=mwdWVNFcVfcMKUjFk5s1nQ&_nc_ss=72289&oh=00_Af5F2lI2hTCWUrygxCKoDz_1tM4g9I7whsrXfO1qNf67FA&oe=6A003465,cassette deck,,0,CHEAP_LOCAL_SIGNAL,price is at or under $25; category signal: cassette deck; matches Matthew interest terms: cassette,"Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the cassette deck still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.711413+00:00
SEEN_BEFORE,WATCH,CHEAP_WATCH_CANDIDATE,54,Facebook Marketplace,Vintage Panasonic Stereo combo,$25,"Athens, GA",https://www.facebook.com/marketplace/item/2089708468554298,https://scontent-sea5-1.xx.fbcdn.net/v/t39.84726-6/681358320_971315645827810_4443297081379976228_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=qT0898D7fW0Q7kNvwEwBQIB&_nc_oc=AdrDtpeAx41uh_QcjwOLQdrw0DcsmOuUps_mgva2QnagKVmIGyxlwymYw-Uqz_L6TY0&_nc_zt=14&_nc_ht=scontent-sea5-1.xx&_nc_gid=O0aO7fPSq4DeSAfNdxxQtg&_nc_ss=7c289&oh=00_Af6zHvlJKCfF-6DnbRbF0jM0BynUUgmH9-wRJn2OOPYPjw&oe=6A004E8B,stereo equipment,Panasonic stereo equipment (model unknown),45,CHEAP_LOCAL_SIGNAL,price is at or under $25; model/category signal: Panasonic stereo equipment (model unknown); matches Matthew interest terms: stereo,"Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the Panasonic stereo equipment (model unknown) still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.711352+00:00
SEEN_BEFORE,WATCH,CHEAP_WATCH_CANDIDATE,54,Facebook Marketplace,Fisher double cassette deck,$25,"Athens, GA",https://www.facebook.com/marketplace/item/2295795824277649,https://scontent.fmli1-1.fna.fbcdn.net/v/t39.84726-6/682183550_1446677759974215_2435574766207729895_n.jpg?stp=c160.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=92e707&_nc_ohc=87yknKdjEDIQ7kNvwG7wcLS&_nc_oc=AdrwC2r5edY3JlNOXlhbBOozpZz5iSTfwRSYcfJaJHcqxhhZ1FEtQPLZH8oyuuZLHDA&_nc_zt=14&_nc_ht=scontent.fmli1-1.fna&_nc_gid=mwdWVNFcVfcMKUjFk5s1nQ&_nc_ss=72289&oh=00_Af6Xer1tyVqEnCGGgHnXJpJtgVp6nouPObbEGDDN6JDzKQ&oe=6A003404,cassette deck,,0,CHEAP_LOCAL_SIGNAL,price is at or under $25; category signal: cassette deck; matches Matthew interest terms: cassette,"Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the cassette deck still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.711408+00:00
SEEN_BEFORE,WATCH,PRICE_BAIT_REVIEW,38,Facebook Marketplace,Nintendo Wii,$1,"Atlanta, GA",https://www.facebook.com/marketplace/item/3074037432784956,https://scontent-ord5-3.xx.fbcdn.net/v/t39.84726-6/687666643_1526714215553783_6213128939349479227_n.jpg?stp=c0.152.261.261a_dst-jpg_p261x260_tt6&_nc_cat=109&ccb=1-7&_nc_sid=92e707&_nc_ohc=_St2-j6Sc3cQ7kNvwEzEaUH&_nc_oc=AdqIGtB07drcRKmGoQLCjBIg3AulcfErsudu3II_bYn6T5EssKelnjiRzNl2OWfqCGk&_nc_zt=14&_nc_ht=scontent-ord5-3.xx&_nc_gid=tVZdB45sQpqNO0LD3b66cA&_nc_ss=72289&oh=00_Af6ylsBbx366OaRXS8dUdHvIZsNEcdHQnAOWInELkaGy9g&oe=6A005310,game console,Nintendo Wii,95,PRICE_BAIT_REVIEW,"price is at or under $25; $1 listing without free/pickup wording; model/category signal: Nintendo Wii; matches Matthew interest terms: nintendo, wii","Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the Nintendo Wii still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.710768+00:00
SEEN_BEFORE,WATCH,PRICE_BAIT_REVIEW,38,Facebook Marketplace,Nintendo Wii (UPDATED 03/28/2026),$1,"Atlanta, GA",https://www.facebook.com/marketplace/item/1647394519724529,https://scontent-ord5-3.xx.fbcdn.net/v/t39.84726-6/657682880_2437884663339185_7850755208803431380_n.jpg?stp=c0.0.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=92e707&_nc_ohc=CijllonUFGYQ7kNvwHsOeUT&_nc_oc=AdqiQswENfWgvHawFitOjzW-23idri8CGt1JgfA3_kJEvR8pFQFZzCqS4WbChP7SWmE&_nc_zt=14&_nc_ht=scontent-ord5-3.xx&_nc_gid=tVZdB45sQpqNO0LD3b66cA&_nc_ss=72289&oh=00_Af6VAi-XzhUP4-uSjxswJ8vxr_XL0VDJEbF9l9U4OCKshw&oe=6A002E87,game console,Nintendo Wii U,95,PRICE_BAIT_REVIEW,"price is at or under $25; $1 listing without free/pickup wording; model/category signal: Nintendo Wii U; matches Matthew interest terms: nintendo, wii","Check title/photos because cheap listings are often price bait, incomplete, or broken.","Hi, is the Nintendo Wii U still available? Is the listed price the real price, and does it power on or include the needed cables/accessories?",2026-05-05T22:34:52.710775+00:00
